TrainStatus	TrainLatitude	TrainLongitude	TrainCode	TrainDate	PublicMessage	Direction
R	53.3397	-6.23773	E128	23 Mar 2026	E128\n19:34 - Malahide to Greystones (6 mins late)\nArrived Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3397	-6.23773	E944	23 Mar 2026	E944\n19:35 - Bray to Howth (0 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3433	-6.24829	D833	23 Mar 2026	D833\n20:09 - Grand Canal Dock to Drogheda (2 mins late)\nDeparted Dublin Pearse next stop Tara Street	To Drogheda
R	53.347	-6.25425	A616	23 Mar 2026	A616\n20:08 - Dublin Connolly to Gorey (2 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.347	-6.25425	E700	23 Mar 2026	E700\n19:25 - Bray to Dublin Connolly (4 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E256	23 Mar 2026	E256\n19:46 - Howth to Bray (2 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3632	-6.25908	P783	23 Mar 2026	P783\n19:40 - M3 Parkway to Dublin Connolly (0 mins late)\nArrived Drumcondra next stop Dublin Connolly	Southbound
R	53.3755	-6.33135	P667	23 Mar 2026	P667\n19:39 - Maynooth to Grand Canal Dock (4 mins late)\nDeparted Ashtown next stop Pelletstown	Southbound
R	53.3776	-6.39072	D933	23 Mar 2026	D933\n19:47 - Dublin Connolly to Maynooth (4 mins late)\nArrived Coolmine next stop Clonsilla	Northbound
R	53.3777	-6.34591	A913	23 Mar 2026	A913\n17:05 - Sligo to Dublin Connolly (0 mins late)\nDeparted Navan Road Parkway next stop Broombridge	Southbound
R	53.378	-6.58993	A914	23 Mar 2026	A914\n19:32 - Dublin Connolly to Sligo (3 mins late)\nDeparted Maynooth next stop Kilcock	Northbound
R	53.387	-6.16163	E943	23 Mar 2026	E943\n19:01 - Greystones to Howth (0 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.4032	-6.14839	E840	23 Mar 2026	E840\n19:04 - Bray to Malahide (5 mins late)\nArrived Clongriffin next stop Portmarnock	Northbound
R	53.4175	-6.46483	P329	23 Mar 2026	P329\n20:07 - M3 Parkway to Clonsilla (2 mins late)\nDeparted Dunboyne next stop Hansfield	Southbound
R	53.4273	-7.93683	A810	23 Mar 2026	A810\n21:09 - Athlone to Westport (-134 mins late)\nDeparted Athlone next stop Roscommon	To Westport
R	53.4855	-6.15134	A125	23 Mar 2026	A125\n18:00 - Belfast to Dublin Connolly (5 mins late)\nDeparted Donabate next stop Dublin Connolly	Southbound
R	53.4855	-6.15134	D831	23 Mar 2026	D831\n19:19 - Grand Canal Dock to Drogheda (20 mins late)\nDeparted Donabate next stop Rush and Lusk	To Drogheda
R	53.5201	-6.1439	P622	23 Mar 2026	P622\n19:48 - Drogheda to Grand Canal Dock (-2 mins late)\nArrived Rush and Lusk next stop Donabate	To Grand Canal Dock
R	53.7955	-9.50885	A811	23 Mar 2026	A811\n18:30 - Westport to Dublin Heuston (0 mins late)\nDeparted Westport next stop Castlebar	To Dublin Heuston
R	53.8591	-7.9164	A915	23 Mar 2026	A915\n19:05 - Sligo to Dublin Connolly (7 mins late)\nArrived Dromod next stop Longford	Southbound
R	54.0007	-6.41291	A126	23 Mar 2026	A126\n18:50 - Dublin Connolly to Belfast (6 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A127	23 Mar 2026	A127\n19:00 - Belfast to Dublin Connolly (0 mins late)\nArrived Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A912	23 Mar 2026	A912\n17:05 - Dublin Connolly to Sligo (5 mins late)\nDeparted Ballymote next stop Collooney	Northbound
T	53.2043	-6.10046	E253	23 Mar 2026	E253\n18:44 - Malahide to Bray(8 mins late)\nTERMINATED Bray at 20:06	Southbound
T	53.3223	-6.52356	D421	23 Mar 2026	D421\n19:10 - Grand Canal Dock to Hazelhatch(3 mins late)\nTERMINATED Hazelhatch at 20:06	Southbound
T	53.334	-6.37868	A225	23 Mar 2026	A225\n17:25 - Cork to Dublin Heuston(10 mins late)\nTERMINATED Park West and Cherry Orchard at 20:13	To Dublin Heuston
T	53.334	-6.37868	A725	23 Mar 2026	A725\n17:20 - Galway to Dublin Heuston(9 mins late)\nTERMINATED Park West and Cherry Orchard at 20:09	To Dublin Heuston
T	53.3531	-6.24591	P766	23 Mar 2026	P766\n19:25 - Maynooth to Dublin Connolly(-1 mins late)\nTERMINATED Dublin Connolly at 20:07	Southbound
T	53.3891	-6.07401	E942	23 Mar 2026	E942\n18:55 - Bray to Howth(-1 mins late)\nTERMINATED Howth at 20:06	Northbound
